speed,energy_over_a_c,production_rate_over_a_c,reference_rate_over_a_c,absolute_difference,relative_difference
0.30,3.80,1.54602876299301014e-05,1.54602876301638249e-05,2.33723495201773601e-16,1.51176679757087393e-11
0.30,3.84,1.44442366725497385e-05,1.44442366719683758e-05,5.81362757413883546e-16,4.02487698461852198e-11
0.30,3.88,1.34853959754608410e-05,1.34853959741714840e-05,1.28935694044228499e-15,9.56113519329936125e-11
0.30,3.92,1.25812321116429997e-05,1.25812321109165402e-05,7.26459501278545194e-16,5.77415228392621077e-11
0.30,3.96,1.17292886133053983e-05,1.17292886125313593e-05,7.74039035991713753e-16,6.59919848135328865e-11
0.30,4.00,1.09271848246321688e-05,1.09271848243455244e-05,2.86644419680327778e-16,2.62322294614885973e-11
0.60,0.08,1.31247130423143704e-02,1.31247130426036546e-02,2.89284221577368328e-13,2.20411844920596229e-11
0.60,0.12,1.21224248296590859e-02,1.21224248299428312e-02,2.83745249518574383e-13,2.34066412866271839e-11
0.60,0.16,1.11751810568986257e-02,1.11751810570473661e-02,1.48740395000679371e-13,1.33098868144851876e-11
0.60,0.20,1.02815462430338681e-02,1.02815462430184985e-02,1.53696499971545109e-14,1.49487729120422912e-12
0.60,0.24,9.44005496790647179e-03,9.44005496785868883e-03,4.77829581457811514e-14,5.06172456712080758e-12
0.60,0.28,8.64921329075336344e-03,8.64921329064703530e-03,1.06328140736522414e-13,1.22933886774999571e-11
0.60,0.32,7.90750019481179130e-03,7.90750019469473736e-03,1.17053935988487012e-13,1.48029001715384442e-11
0.60,0.36,7.21336905641571137e-03,7.21336905636837510e-03,4.73362668507171236e-14,6.56229654698257240e-12
0.60,0.40,6.56524913700174545e-03,6.56524913698403045e-03,1.77149961366751540e-14,2.69829762238286331e-12
0.60,0.44,5.96154709642102761e-03,5.96154709645033143e-03,2.93038163179382138e-14,4.91547174648448407e-12
0.60,0.48,5.40064852593077818e-03,5.40064852600836282e-03,7.75846401013247089e-14,1.43658006492542066e-11
0.60,0.52,4.88091949922033700e-03,4.88091949927962464e-03,5.92876442384593361e-14,1.21468186982411008e-11
0.60,0.56,4.40070813980684549e-03,4.40070813985165080e-03,4.48053052992669620e-14,1.01813853305839456e-11
0.60,0.60,3.95834620311946803e-03,3.95834620313861157e-03,1.91435409191420547e-14,4.83624724486275416e-12
0.60,0.64,3.55215067157541075e-03,3.55215067154024703e-03,3.51637122197878682e-14,9.89927384035783054e-12
0.60,0.68,3.18042536093799712e-03,3.18042536088834499e-03,4.96521226911461611e-14,1.56117868074343074e-11
0.60,0.72,2.84146253623656416e-03,2.84146253618591804e-03,5.06461192428808715e-14,1.78239616387351447e-11
0.60,0.76,2.53354453551916893e-03,2.53354453547101517e-03,4.81537552887711939e-14,1.90064767422053068e-11
0.60,0.80,2.25494539970319844e-03,2.25494539969791664e-03,5.28179930348038340e-15,2.34231804645378921e-12
0.60,0.84,2.00393250678484796e-03,2.00393250681428362e-03,2.94356553021124512e-14,1.46889454619942580e-11
0.60,0.88,1.77876820866647062e-03,1.77876820871018218e-03,4.37115621476635852e-14,2.45740630699486400e-11
0.60,0.92,1.57771146886033693e-03,1.57771146892323605e-03,6.28991216750085513e-14,3.98673159915204507e-11
0.60,0.96,1.39901949932877195e-03,1.39901949937328170e-03,4.45097517870474135e-14,3.18149616978079546e-11
0.60,1.00,1.24094939472323986e-03,1.24094939472187745e-03,1.36240844994528487e-15,1.09787591318389644e-12
0.60,1.04,1.10175976228978805e-03,1.10175976226110721e-03,2.86808337496280430e-14,2.60318399092441555e-11
0.60,1.08,9.79712345714223295e-04,9.79712345644684303e-04,6.95389926197442776e-14,7.09789898319442307e-11
0.60,1.12,8.73073641189042108e-04,8.73073641091984981e-04,9.70571279595988656e-14,1.11167172379876206e-10
0.60,1.16,7.80116503994401087e-04,7.80116503943665629e-04,5.07354575018936771e-14,6.50357443348710700e-11
0.60,1.20,6.99121743897806666e-04,6.99121743895917119e-04,1.88954754620773713e-15,2.70274464026546805e-12
0.60,1.24,6.28379707690426858e-04,6.28379707773072120e-04,8.26452621616180494e-14,1.31521214226516501e-10
0.60,1.28,5.66191847181667551e-04,5.66191847530913249e-04,3.49245697466027405e-13,6.16832790844730541e-10
0.60,1.32,5.10872270788750686e-04,5.10872271654735162e-04,8.65984475968695211e-13,1.69510956851061385e-09
0.60,1.36,4.60814468479724940e-04,4.60814468123352510e-04,3.56372429396317747e-13,7.73353386337085767e-10
0.60,1.40,4.15185286360494714e-04,4.15185286297631534e-04,6.28631803729906569e-14,1.51409942615178050e-10
0.60,1.44,3.73656499386946714e-04,3.73656499489136997e-04,1.02190283145231486e-13,2.73487235696277204e-10
0.60,1.48,3.35923850276824063e-04,3.35923850380433296e-04,1.03609232738471890e-13,3.08430713154587215e-10
0.60,1.52,3.01698644863864656e-04,3.01698644921915172e-04,5.80505153495447512e-14,1.92412250855714755e-10
0.60,1.56,2.70707473534021641e-04,2.70707473585976338e-04,5.19546970549622511e-14,1.91921916180350695e-10
0.60,1.60,2.42691913408828918e-04,2.42691913404873748e-04,3.95516952522712018e-15,1.62970799881117593e-11
0.60,1.64,2.17408211757748343e-04,2.17408211719203925e-04,3.85444172239235439e-14,1.77290530652568134e-10
0.60,1.68,1.94626951273172121e-04,1.94626951243706135e-04,2.94659858578877332e-14,1.51397253410147166e-10
0.60,1.72,1.74132697872142635e-04,1.74132697829864361e-04,4.22782739806920604e-14,2.42793424253955313e-10
0.60,1.76,1.55723631711048515e-04,1.55723631688147699e-04,2.29008164428362582e-14,1.47060636812641607e-10
0.60,1.80,1.39211162119367931e-04,1.39211162128742891e-04,9.37496066021059615e-15,6.73434552003854803e-11
0.60,1.84,1.24419527177451719e-04,1.24419527187581854e-04,1.01301345784010621e-14,8.14191695418381011e-11
0.60,1.88,1.11185378680460185e-04,1.11185378708065369e-04,2.76051832217780180e-14,2.48280696099976857e-10
0.60,1.92,9.93573532464725370e-05,9.93573532767043355e-05,3.02317985098957132e-14,3.04273388057167219e-10
0.60,1.96,8.87956303419095615e-05,8.87956303493014486e-05,7.39188712409882820e-15,8.32460684722981984e-11
0.60,2.00,7.93714780107007201e-05,7.93714780158411801e-05,5.14045999776974183e-15,6.47645744576382249e-11
0.60,2.04,7.09667871065677061e-05,7.09667870965664696e-05,1.00012364926196917e-14,1.40928410342301863e-10
0.60,2.08,6.34735948392267240e-05,6.34735948136450686e-05,2.55816553921053846e-14,4.03028305978441858e-10
0.60,2.12,5.67935984561342342e-05,5.67935984421954600e-05,1.39387741800167664e-14,2.45428614533091319e-10
0.60,2.16,5.08376598912049267e-05,5.08376598768447028e-05,1.43602238932526161e-14,2.82472165871532264e-10
0.60,2.20,4.55253022204566500e-05,4.55253022140661253e-05,6.39052477385479434e-15,1.40373033523329142e-10
0.60,2.24,4.07841987723208156e-05,4.07841987861755505e-05,1.38547349591219837e-14,3.39708401083467290e-10
0.60,2.28,3.65496557463139234e-05,3.65496557578504308e-05,1.15365074264406342e-14,3.15639290910769539e-10
0.60,2.32,3.27640891991086232e-05,3.27640892146158720e-05,1.55072488053700774e-14,4.73300164206987448e-10
0.60,2.36,2.93764972604714108e-05,2.93764972775073711e-05,1.70359603160474826e-14,5.79918026138921711e-10
0.60,2.40,2.63419284438824246e-05,2.63419284431847710e-05,6.97653604808320948e-16,2.64845304060803913e-11
0.60,2.44,2.36209469179801409e-05,2.36209469144158940e-05,3.56424687941031548e-15,1.50893479940681432e-10
0.60,2.48,2.11790956049634279e-05,2.11790955958152654e-05,9.14816250638557371e-15,4.31943019710111732e-10
0.60,2.52,1.89863579710725443e-05,1.89863579518837921e-05,1.91887521497347002e-14,1.01065998009538345e-09
0.60,2.56,1.70166193721324542e-05,1.70166193636064272e-05,8.52602697102265716e-15,5.01041175620190163e-10
0.60,2.60,1.52471288141159645e-05,1.52471288091186751e-05,4.99728940682713646e-15,3.27752816244227250e-10
0.60,2.64,1.36579619845451772e-05,1.36579619833022309e-05,1.24294631119632737e-15,9.10052548627615197e-11
0.60,2.68,1.22314864197639717e-05,1.22314864332252582e-05,1.34612864610564667e-14,1.10054379200312201e-09
0.60,2.72,1.09518445676375468e-05,1.09518445784975900e-05,1.08600431978408268e-14,9.91617724302168963e-10
0.60,2.76,9.80459721850738287e-06,9.80459722800539709e-06,9.49801421865591189e-15,9.68730688041546912e-10
0.60,2.80,8.77658381687666694e-06,8.77658382753356284e-06,1.06568958979690390e-14,1.21424190862698003e-09
0.60,2.84,7.85583012478201960e-06,7.85583012128172032e-06,3.50029928002440482e-15,4.45567078970046827e-10
0.60,2.88,7.03146066842676271e-06,7.03146066165581511e-06,6.77094759925743472e-15,9.62950363383383793e-10
0.60,2.92,6.29361546587167214e-06,6.29361545807085614e-06,7.80081599630836481e-15,1.23948087522644753e-09
0.60,2.96,5.63337099398938980e-06,5.63337097920163027e-06,1.47877595382144879e-14,2.62502852959813979e-09
0.60,3.00,5.04266534422014353e-06,5.04266533864120168e-06,5.57894184950898098e-15,1.10634782894640481e-09
0.60,3.04,4.51422750807742067e-06,4.51422750782647446e-06,2.50946216118295290e-16,5.55900684409948380e-11
0.60,3.08,4.04151072507004033e-06,4.04151072623091677e-06,1.16087644190391096e-15,2.87238243454208476e-10
0.60,3.12,3.61862981841269682e-06,3.61862983056176534e-06,1.21490685248842618e-14,3.35736704049615617e-09
0.60,3.16,3.24030243507914270e-06,3.24030244490421667e-06,9.82507396838153135e-15,3.03214719472643579e-09
0.60,3.20,2.90179410032160792e-06,2.90179410603248531e-06,5.71087739543920531e-15,1.96805051866601067e-09
0.60,3.24,2.59886698884155424e-06,2.59886699547789137e-06,6.63633712327978131e-15,2.55355011811963137e-09
0.60,3.28,2.32773230768175877e-06,2.32773230304713076e-06,4.63462801529547150e-15,1.99104854507044735e-09
0.60,3.32,2.08500617957511252e-06,2.08500617143107199e-06,8.14404052279938534e-15,3.90600307777967603e-09
0.60,3.36,1.86766890892929954e-06,1.86766890241506624e-06,6.51423330052657446e-15,3.48789514678060812e-09
0.60,3.40,1.67302750644228032e-06,1.67302749507065950e-06,1.13716208165545599e-14,6.79703163878623809e-09
0.60,3.44,1.49868134298569036e-06,1.49868133928064034e-06,3.70505001326534508e-15,2.47220667673339488e-09
0.60,3.48,1.34249079829375032e-06,1.34249080085617025e-06,2.56241993159471264e-15,1.90870576540303690e-09
0.60,3.52,1.20254876513436727e-06,1.20254876763308058e-06,2.49871331308229583e-15,2.07784780154936588e-09
0.60,3.56,1.07715486475320414e-06,1.07715487536725838e-06,1.06140542420463373e-14,9.85378656753278035e-09
0.60,3.60,9.64792226114310935e-07,9.64792234879237619e-07,8.76492668456510179e-15,9.08478153916962396e-09
0.60,3.64,8.64106676669738032e-07,8.64106679736626329e-07,3.06688829690302195e-15,3.54920100587324251e-09
0.60,3.68,7.73888189280101036e-07,7.73888193043036751e-07,3.76293571548511193e-15,4.86237643798223866e-09
0.60,3.72,6.93054426866138030e-07,6.93054421850897348e-07,5.01524068195741525e-15,7.23643125826038895e-09
0.60,3.76,6.20636223101733568e-07,6.20636214473497143e-07,8.62823642506458386e-15,1.39022445417307072e-08
0.60,3.80,5.55764835578291056e-07,5.55764830172191891e-07,5.40609916502846543e-15,9.72731427311350595e-09
0.60,3.84,4.97660805357662553e-07,4.97660796809848201e-07,8.54781435249193228e-15,1.71759849425269811e-08
0.60,3.88,4.45624256196451262e-07,4.45624253840487353e-07,2.35596390927271266e-15,5.28688438514847420e-09
0.60,3.92,3.99026464703308957e-07,3.99026469000261730e-07,4.29695277221882831e-15,1.07685908230213420e-08
0.60,3.96,3.57302532793800185e-07,3.57302536088963861e-07,3.29516367618805589e-15,9.22233497768289442e-09
0.60,4.00,3.19944992835279301e-07,3.19945001895920328e-07,9.06064102716551021e-15,2.83193704339003258e-08
0.85,0.08,1.63938394804544925e-02,1.63938394816420772e-02,1.18758475275981823e-12,7.24409162411089277e-11
0.85,0.12,1.45505616846561946e-02,1.45505616858682685e-02,1.21207384407018282e-12,8.33008285341567134e-11
0.85,0.16,1.28778447602608641e-02,1.28778447608278428e-02,5.66978755611735608e-13,4.40274569341281450e-11
0.85,0.20,1.13676775651943250e-02,1.13676775651403387e-02,5.39863292958742136e-14,4.74910807300046156e-12
0.85,0.24,1.00114232503378843e-02,1.00114232501032508e-02,2.34633493190194997e-13,2.34365771308065650e-11
0.85,0.28,8.79989344836832818e-03,8.79989344778305156e-03,5.85276618836338969e-13,6.65095119968511829e-11
0.85,0.32,7.72342645690964318e-03,7.72342645637159528e-03,5.38047904841132407e-13,6.96644045075691821e-11
0.85,0.36,6.77196865409947658e-03,6.77196865380146062e-03,2.98015952193697586e-13,4.40072846507352987e-11
0.85,0.40,5.93515835707789183e-03,5.93515835697127313e-03,1.06618706918748529e-13,1.79639194956807078e-11
0.85,0.44,5.20241131445280114e-03,5.20241131481895443e-03,3.66153288244852604e-13,7.03814569989637248e-11
0.85,0.48,4.56300701266494895e-03,4.56300701324758706e-03,5.82638104429378245e-13,1.27687312935927876e-10
0.85,0.52,4.00617497345721277e-03,4.00617497424205719e-03,7.84844411683138787e-13,1.95908670172756587e-10
0.85,0.56,3.52118022536127570e-03,3.52118022627166249e-03,9.10386783320449311e-13,2.58545920634228868e-10
0.85,0.60,3.09740714675877434e-03,3.09740714575327918e-03,1.00549516629522273e-12,3.24624797122268419e-10
0.85,0.64,2.72455595096432685e-03,2.72455595118228271e-03,2.17955861692153974e-13,7.99968382361812407e-11
0.85,0.68,2.39517081437907661e-03,2.39517081521898939e-03,8.39912774747153534e-13,3.50669258914780449e-10
0.85,0.72,2.10463960723592880e-03,2.10463960783745414e-03,6.01525339954944727e-13,2.85809189238351457e-10
0.85,0.76,1.84878422833009205e-03,1.84878422845416142e-03,1.24069374565771717e-13,6.71086288255016276e-11
0.85,0.80,1.62375631575569423e-03,1.62375631586457523e-03,1.08881003171856783e-13,6.70550144181472731e-11
0.85,0.84,1.42603558400887466e-03,1.42603558392392438e-03,8.49502759803222318e-14,5.95709370355053696e-11
0.85,0.88,1.25242441029386488e-03,1.25242441010682288e-03,1.87042005148074786e-13,1.49343947338204176e-10
0.85,0.92,1.10003889530823989e-03,1.10003889525573631e-03,5.25035744047830377e-14,4.77288345268710160e-11
0.85,0.96,9.66296660249965330e-04,9.66296660146842524e-04,1.03122805433786269e-13,1.06719612813434838e-10
0.85,1.00,8.48901674201700106e-04,8.48901674175576797e-04,2.61233092449519866e-14,3.07730683536724328e-11
0.85,1.04,7.45826434350666759e-04,7.45826434431870575e-04,8.12038153732985712e-14,1.08877631073984597e-10
0.85,1.08,6.55291845419649012e-04,6.55291845431336820e-04,1.16878078396109863e-14,1.78360343121890184e-11
0.85,1.12,5.75745163994990667e-04,5.75745164063103392e-04,6.81127246618395965e-14,1.18303598385716068e-10
0.85,1.16,5.05836387970909481e-04,5.05836388027864682e-04,5.69552001047912704e-14,1.12596091251651545e-10
0.85,1.20,4.44393480978059043e-04,4.44393480942407548e-04,3.56514947771890967e-14,8.02250624864802047e-11
0.85,1.24,3.90396826376533006e-04,3.90396826387503831e-04,1.09708249429463223e-14,2.81017267595735931e-11
0.85,1.28,3.42953447218928347e-04,3.42953447186949045e-04,3.19793020189806931e-14,9.32467723572648501e-11
0.85,1.32,3.01274785174889491e-04,3.01274785114562205e-04,6.03272857016556863e-14,2.00240075447122938e-10
0.85,1.36,2.64663588723805271e-04,2.64663588737730276e-04,1.39250048124262005e-14,5.26139801807994611e-11
0.85,1.40,2.32504644021534176e-04,2.32504644000917123e-04,2.06170529867127916e-14,8.86737255305380714e-11
