speed,energy_over_a_c,production_rate_over_a_c,mode_sum_rate_over_a_c,absolute_difference,relative_difference
0.60,3.16,3.24030243507914270e-06,3.24030244539291825e-06,1.03137755565305307e-14,3.18296693914937485e-09
0.60,3.20,2.90179410032160792e-06,2.90179410839711331e-06,8.07550539297114539e-15,2.78293534665416906e-09
0.60,3.24,2.59886698884155424e-06,2.59886699204089509e-06,3.19934085056842663e-15,1.23105217018281431e-09
0.60,3.28,2.32773230768175877e-06,2.32773230507252714e-06,2.60923163094119517e-15,1.12093286038743930e-09
0.60,3.32,2.08500617957511252e-06,2.08500617221973717e-06,7.35537534539095796e-15,3.52774751623890205e-09
0.60,3.36,1.86766890892929954e-06,1.86766889944053683e-06,9.48876271304776361e-15,5.08053794539821153e-09
0.60,3.40,1.67302750644228032e-06,1.67302749804383048e-06,8.39844983312252984e-15,5.01991141385442111e-09
0.60,3.44,1.49868134298569036e-06,1.49868133844423893e-06,4.54145142648218307e-15,3.03029824285168137e-09
0.60,3.48,1.34249079829375032e-06,1.34249079903574716e-06,7.41996838388267639e-16,5.52701619200080721e-10
0.60,3.52,1.20254876513436727e-06,1.20254877074113966e-06,5.60677238754044190e-15,4.66240748313679314e-09
0.60,3.56,1.07715486475320414e-06,1.07715487322505700e-06,8.47185286129864025e-15,7.86502765004764659e-09
0.60,3.60,9.64792226114310935e-07,9.64792234553591779e-07,8.43928084458668657e-15,8.74725204281057686e-09
0.60,3.64,8.64106676669738032e-07,8.64106682247739992e-07,5.57800196057488392e-15,6.45522373008992305e-09
0.60,3.68,7.73888189280101036e-07,7.73888190216201721e-07,9.36100685119576562e-16,1.20960714603753980e-09
0.60,3.72,6.93054426866138030e-07,6.93054422968815244e-07,3.89732278652292702e-15,5.62340078550842979e-09
0.60,3.76,6.20636223101733568e-07,6.20636215808476125e-07,7.29325744305023499e-15,1.17512598480087444e-08
0.60,3.80,5.55764835578291056e-07,5.55764827379343317e-07,8.19894773953925085e-15,1.47525488041418818e-08
0.60,3.84,4.97660805357662553e-07,4.97660799014282680e-07,6.34337987292268564e-15,1.27463924936161855e-08
0.60,3.88,4.45624256196451262e-07,4.45624253776200093e-07,2.42025116887047229e-15,5.43114776263044816e-09
0.60,3.92,3.99026464703308957e-07,3.99026466926709140e-07,2.22340018253298086e-15,5.57206192275301400e-09
0.60,3.96,3.57302532793800185e-07,3.57302538781481648e-07,5.98768146279436545e-15,1.67580154431992413e-08
0.60,4.00,3.19944992835279301e-07,3.19945000523940406e-07,7.68866110491625175e-15,2.40311962753765073e-08
0.85,0.08,1.63938394804544925e-02,1.63938394819596878e-02,1.50519527397641184e-12,9.18146890258854571e-11
0.85,0.12,1.45505616846561946e-02,1.45505616857329254e-02,1.07673071847447233e-12,7.39992545806822881e-11
0.85,0.16,1.28778447602608641e-02,1.28778447608084278e-02,5.47563730468603183e-13,4.25198269305918395e-11
0.85,0.20,1.13676775651943250e-02,1.13676775652396950e-02,4.53699577906974127e-14,3.99113693455121799e-12
0.85,0.24,1.00114232503378843e-02,1.00114232500026039e-02,3.35280414542893368e-13,3.34897852353616328e-11
0.85,0.28,8.79989344836832818e-03,8.79989344783464050e-03,5.33687677384264703e-13,6.06470613022692264e-11
0.85,0.32,7.72342645690964318e-03,7.72342645637937725e-03,5.30265935327900451e-13,6.86568245742681504e-11
0.85,0.36,6.77196865409947658e-03,6.77196865375207391e-03,3.47402662193019296e-13,5.13000989749912012e-11
